VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,fare_amount,payment_type
1.0,2024-01-01 00:00:00,2024-01-01 00:32:00,1,6.69914113857903,81.73523285406787,2
2.0,2024-01-01 00:01:00,2024-01-01 00:12:00,2,0.6711556329846246,38.8570974334909,2
2.0,2024-01-01 00:02:00,2024-01-01 00:41:00,4,7.951591722106762,14.59002975542386,2
2.0,2024-01-01 00:03:00,2024-01-01 01:02:00,5,6.385282708422527,96.37938267894224,1
1.0,2024-01-01 00:04:00,2024-01-01 00:36:00,3,1.2292413129715472,66.9971914454668,1
1.0,2024-01-01 00:05:00,2024-01-01 00:23:00,3,10.354622501865627,48.32945503294621,4
1.0,2024-01-01 00:06:00,2024-01-01 00:20:00,4,8.359110570013364,42.78846839544877,1
2.0,2024-01-01 00:07:00,2024-01-01 00:27:00,2,12.873851120959731,35.84700675453507,1
2.0,2024-01-01 00:08:00,2024-01-01 00:28:00,4,12.613133282784622,98.23752156576728,1
2.0,2024-01-01 00:09:00,2024-01-01 01:07:00,1,2.8545593999852623,17.800990187436202,1
1.0,2024-01-01 00:10:00,2024-01-01 00:45:00,5,19.55082814946914,34.90648059745399,1
2.0,2024-01-01 00:11:00,2024-01-01 00:57:00,2,4.145162874108214,51.12227582685304,2
2.0,2024-01-01 00:12:00,2024-01-01 00:41:00,3,9.18284348291174,50.40995678015958,1
1.0,2024-01-01 00:13:00,2024-01-01 00:30:00,1,10.01829209695783,49.77981601874513,5
1.0,2024-01-01 00:14:00,2024-01-01 00:24:00,3,16.354724545675342,21.699462503886277,1
1.0,2024-01-01 00:15:00,2024-01-01 01:03:00,1,2.434977123845612,18.768590075402557,1
1.0,2024-01-01 00:16:00,2024-01-01 00:29:00,5,8.85856344456637,29.202920701218908,5
2.0,2024-01-01 00:17:00,2024-01-01 01:06:00,4,12.755792319605977,91.87998461119533,3
1.0,2024-01-01 00:18:00,2024-01-01 00:58:00,1,4.695534621669083,15.740031944278462,1
1.0,2024-01-01 00:19:00,2024-01-01 01:06:00,4,12.73562402593842,76.95538482046585,1
2.0,2024-01-01 00:20:00,2024-01-01 00:44:00,4,18.511464332218228,76.96709734767028,3
1.0,2024-01-01 00:21:00,2024-01-01 00:43:00,3,19.951603557867163,81.92818837023992,1
1.0,2024-01-01 00:22:00,2024-01-01 01:09:00,2,1.1327959974181765,89.22847145398877,1
1.0,2024-01-01 00:23:00,2024-01-01 00:48:00,1,5.093970450771211,29.988436866198377,3
1.0,2024-01-01 00:24:00,2024-01-01 00:32:00,1,6.5509887579381,26.333149580545157,1
2.0,2024-01-01 00:25:00,2024-01-01 01:19:00,2,8.28295895867684,49.223038320110575,1
1.0,2024-01-01 00:26:00,2024-01-01 01:03:00,5,5.224014572902965,30.183471031443432,1
2.0,2024-01-01 00:27:00,2024-01-01 00:58:00,1,4.4680158938285945,74.75944895339521,1
2.0,2024-01-01 00:28:00,2024-01-01 00:39:00,4,19.11379992714125,65.4142597904362,3
2.0,2024-01-01 00:30:00,2024-01-01 00:49:00,2,1.4163537695607906,12.860138831271795,3
1.0,2024-01-01 00:31:00,2024-01-01 00:53:00,4,7.106853921294539,91.9329166690171,1
1.0,2024-01-01 00:32:00,2024-01-01 01:08:00,5,8.40039679672893,32.86811953365851,1
2.0,2024-01-01 00:33:00,2024-01-01 00:48:00,2,5.160783425985896,51.61596286306348,1
2.0,2024-01-01 00:34:00,2024-01-01 00:58:00,2,12.763021491269422,46.66808641426615,2
2.0,2024-01-01 00:35:00,2024-01-01 01:03:00,2,12.9874245595627,77.22960685492026,4
1.0,2024-01-01 00:36:00,2024-01-01 00:55:00,1,17.084832452407642,44.93166439602504,1
1.0,2024-01-01 00:37:00,2024-01-01 01:29:00,1,10.128347385114001,94.6375488366939,1
2.0,2024-01-01 00:38:00,2024-01-01 00:49:00,2,11.080179875836134,90.74071885066468,1
1.0,2024-01-01 00:39:00,2024-01-01 01:04:00,2,13.244942015866188,87.85530943710312,2
1.0,2024-01-01 00:40:00,2024-01-01 01:26:00,3,5.842781240088852,11.76954160158165,1
1.0,2024-01-01 00:41:00,2024-01-01 01:11:00,2,12.064595704363477,86.15451584762425,2
1.0,2024-01-01 00:42:00,2024-01-01 01:30:00,2,10.039931467623424,79.255367317105,1
